Iteration   Cost 	1_o2
1 	316181.459398277 	0.0
2 	278025.7427964721 	0.01
3 	35514.4542211299 	0.11
4 	240.10573746009237 	0.16547326141381702
5 	142.44721254518996 	0.16855508399805647
6 	142.28759778598197 	0.16866964636171441
7 	142.23712121190144 	0.168625703924912
-1 	142.23712121190144 	0.168625703924912
